year,pref,pop,male,child,adult,born,income
2019,Hokkaido,5250000,47.1,10.8,57.4,0.591,574012
2019,Aomori,1246000,47,10.7,56.1,0.575,477422
2019,Iwate,1227000,48.3,11.1,55.8,0.568,566360
2019,Miyagi,2306000,48.9,11.8,59.9,0.648,488407
2019,Akita,966000,47,9.8,53,0.486,538001
2019,Yamagata,1078000,48.2,11.4,55.1,0.594,604521
2019,Fukushima,1846000,49.5,11.4,57.1,0.626,630948
2019,Ibaraki,2860000,49.9,11.9,58.6,0.63,592434
2019,Tochigi,1934000,49.8,12.1,59.2,0.652,578586
2019,Gunma,1942000,49.5,11.9,58.2,0.613,505979
2019,Saitama,7350000,49.9,12,61.3,0.657,781096
2019,Chiba,6259000,49.6,11.8,60.3,0.652,662834
2019,Tokyo,13921000,49.2,11.2,65.8,0.731,694159
2019,Kanagawa,9198000,49.9,11.9,62.7,0.685,611076
2019,Niigata,2223000,48.5,11.4,56.2,0.614,652636
2019,Toyama,1044000,48.5,11.4,56.3,0.633,593210
2019,Ishikawa,1138000,48.6,12.3,58.1,0.686,667194
2019,Fukui,768000,48.7,12.6,56.7,0.691,611545
2019,Yamanashi,811000,49,11.7,57.5,0.64,615009
2019,Nagano,2049000,48.8,12.2,55.9,0.661,588199
2019,Gifu,1987000,48.5,12.5,57.4,0.643,624565
2019,Shizuoka,3644000,49.3,12.3,57.8,0.644,580329
2019,Aichi,7552000,50.1,13.1,61.8,0.757,546611
2019,Mie,1781000,48.9,12.2,58,0.656,643697
2019,Shiga,1414000,49.4,13.8,60.2,0.752,608591
2019,Kyoto,2583000,47.8,11.6,59.3,0.658,471713
2019,Osaka,8809000,48,11.8,60.5,0.71,541198
2019,Hyogo,5466000,47.7,12.3,58.6,0.696,546196
2019,Nara,1330000,47.1,11.9,56.8,0.626,590106
2019,Wakayama,925000,47,11.6,55.3,0.634,529962
2019,Tottori,556000,47.8,12.5,55.4,0.717,542585
2019,Shimane,674000,48.4,12.3,53.4,0.682,598185
2019,Okayama,1890000,48.1,12.5,57.1,0.725,534632
2019,Hiroshima,2804000,48.6,12.8,57.9,0.714,576190
2019,Yamaguchi,1358000,47.5,11.6,54.1,0.646,576057
2019,Tokushima,728000,47.7,11.2,55.2,0.626,569878
2019,Kagawa,956000,48.5,12.2,56,0.694,656303
2019,Ehime,1339000,47.4,11.8,55.1,0.631,516347
2019,Kochi,698000,47.1,11.1,53.7,0.612,554178
2019,Fukuoka,5104000,47.3,13.1,58.9,0.779,567753
2019,Saga,815000,47.4,13.5,56.2,0.765,616666
2019,Nagasaki,1327000,47,12.7,54.7,0.722,579994
2019,Kumamoto,1748000,47.2,13.3,55.6,0.761,529179
2019,Oita,1135000,47.5,12.2,54.9,0.672,509451
2019,Miyazaki,1073000,47.1,13.3,54.5,0.75,476227
2019,Kagoshima,1602000,47,13.3,54.8,0.748,562022
2019,Okinawa,1453000,49.2,16.9,60.9,1.026,424298
2018,Hokkaido,5286000,47.1,10.9,57.7,0.618,544026
